movie,year,rating,genre,imdb,metascore,votes,grosses,n_imdb,runtime_min
Rifkin's Festival,2020,,['Comedy'],7.8,48,42,,78,92
Sleepless in Seattle,1993,PG,"['Comedy', ' Drama', ' Romance']",6.8,72,156875,126533006.0,68,105
Amélie,2001,R,"['Comedy', ' Romance']",8.3,69,692049,33225499.0,83,122
Tropic Thunder,2008,R,"['Action', ' Comedy', ' War']",7.0,71,372646,110515313.0,70,107
Holes,2003,PG,"['Adventure', ' Comedy', ' Drama']",7.0,71,76091,67406573.0,70,117
Kick-Ass 2,2013,R,"['Action', ' Comedy', ' Crime']",6.5,41,251351,28795985.0,65,103
The Devil Wears Prada,2006,PG-13,"['Comedy', ' Drama']",6.9,62,363512,124740460.0,69,109
Kindergarten Cop,1990,,"['Action', ' Comedy', ' Crime']",6.1,61,133824,91457688.0,61,111
Adaptation.,2002,R,"['Comedy', ' Drama']",7.7,83,174883,22245861.0,77,115
Mid90s,2018,R,"['Comedy', ' Drama']",7.4,66,45154,7362439.0,74,85
This Is the End,2013,R,['Comedy'],6.6,67,378940,101470202.0,66,107
Up,2009,PG,"['Animation', ' Adventure', ' Comedy']",8.2,88,914251,293004164.0,82,96
Cry-Baby,1990,PG-13,"['Comedy', ' Musical']",6.5,63,54014,8266343.0,65,85
EverAfter,1998,PG-13,"['Comedy', ' Drama', ' Romance']",7.0,66,68176,65705771.0,70,121
The Parent Trap,1998,PG,"['Adventure', ' Comedy', ' Drama']",6.5,64,118007,66308518.0,65,128
Toy Story 3,2010,,"['Animation', ' Adventure', ' Comedy']",8.3,92,741755,415004880.0,83,103
Secretary,2002,R,"['Comedy', ' Drama', ' Romance']",7.0,63,82003,4059680.0,70,107
"Lock, Stock and Two Smoking Barrels",1998,R,"['Action', ' Comedy', ' Crime']",8.2,66,525842,3897569.0,82,107
The Holiday,2006,PG-13,"['Comedy', ' Romance']",6.9,52,237944,63224849.0,69,136
EuroTrip,2004,R,['Comedy'],6.6,45,191917,17718223.0,66,92
Happy Gilmore,1996,PG-13,"['Comedy', ' Sport']",7.0,31,192913,38624000.0,70,92
Mary Poppins,1964,G,"['Comedy', ' Family', ' Fantasy']",7.8,88,154714,102272727.0,78,139
Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",6.3,52,206955,37771017.0,63,106
Mary Poppins Returns,2018,PG,"['Comedy', ' Family', ' Fantasy']",6.7,66,74010,171958438.0,67,130
Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",6.2,67,91452,29258869.0,62,101
Vacation,2015,R,"['Adventure', ' Comedy']",6.1,34,97066,58884188.0,61,99
